,format,write_time,file_size,read_time
0,csv,0.7171941950000473,20162631,0.17631950799841434
1,csv,0.729346534000797,20162631,0.16917863999879046
2,csv,0.8043179520009289,20162631,0.18521757399867056
3,csv,0.7184792579992063,20162631,0.1809716829993704
4,csv,0.7117340650002006,20162631,0.18111562699959904
5,csv,0.7292575150004268,20162631,0.18009424900083104
6,csv,0.7340652629991382,20162631,0.17406788099833648
7,csv,0.7314835609995498,20162631,0.17235924299893668
8,csv,0.7442753720006294,20162631,0.19048171999929764
9,csv,0.7370658430008916,20162631,0.17969414400067762
10,json,0.3206668370003172,54118547,1.167094634998648
11,json,0.32045487399955164,54118547,1.1519127039991872
12,json,0.31836527999985265,54118547,1.1605834160000086
13,json,0.31900334999954794,54118547,1.1586336860000301
14,json,0.3192186230007792,54118547,1.1883309639997606
15,json,0.326098887999251,54118547,1.1567315949996555
16,json,0.32151641199925507,54118547,1.1468735310008924
17,json,0.32107680499939306,54118547,1.1513965750000352
18,json,0.3218928389997018,54118547,1.1616513150001992
19,json,0.3231416980015638,54118547,1.1555327940004645
20,xml,7.353064243001427,248864297,7.4910363990002224
21,xml,6.645304024999859,248864297,7.689019012001154
22,xml,6.825576145000014,248864297,7.485993656999199
23,xml,6.588629231999221,248864297,7.29291535899938
24,xml,6.496732089999568,248864297,7.431794263999109
25,xml,6.695429833000162,248864297,7.473726771000656
26,xml,6.7254669619997,248864297,8.02566249100164
27,xml,6.8765991300006135,248864297,7.728827239001475
28,xml,6.688644202000432,248864297,7.494398756998635
29,xml,6.60800470599861,248864297,7.7412674040006095
30,excel,35.63606881300075,22494866,25.490421487000276
31,excel,35.38244315100019,22494866,25.595171410999683
32,excel,35.39665596800114,22494866,25.513908232000176
33,excel,35.493419937,22494866,25.17114194199894
34,excel,34.672293286999775,22494866,25.442740693000815
35,excel,35.229600640999706,22494866,25.57863128400095
36,excel,35.235825497000405,22494866,25.446225072000743
37,excel,35.23213122299967,22494866,25.499902829998973
38,excel,35.467875542999536,22494866,25.691522720999274
39,excel,35.17593503099852,22494866,25.18034590299976
40,pickle,0.013943706000645761,34210653,0.012612026001079357
41,pickle,0.013646830999277881,34210653,0.012418735999744968
42,pickle,0.01342519900026673,34210653,0.01237486499849183
43,pickle,0.01389830599873676,34210653,0.01230525199935073
44,pickle,0.013509079000868951,34210653,0.012198172000353225
45,pickle,0.013553030999901239,34210653,0.012395574998663506
46,pickle,0.013444008000078611,34210653,0.012886821001302451
47,pickle,0.01416015999893716,34210653,0.012832951000746107
48,pickle,0.013879755000743899,34210653,0.012423726000633906
49,pickle,0.013498129999788944,34210653,0.012127820000387146
50,feather,0.03910156100027962,8660418,0.017593917000340298
51,feather,0.03488481000022148,8660418,0.016875807001270005
52,feather,0.029467884000041522,8660418,0.015987033999408595
53,feather,0.03562402200077486,8660418,0.014958390000174404
54,feather,0.0308055540008354,8660418,0.016055096000854974
55,feather,0.031922250000206986,8660418,0.01741841500006558
56,feather,0.031389262001539464,8660418,0.016413641000326606
57,feather,0.030470379000689718,8660418,0.014861509998809197
58,feather,0.030213635000109207,8660418,0.016100165999887395
59,feather,0.02883442700112937,8660418,0.015390095999464393
60,parquet,0.11610647400084417,7762968,0.04010200300035649
61,parquet,0.11035684300077264,7762968,0.03526291699927242
62,parquet,0.11052931399899535,7762968,0.03391960800036031
63,parquet,0.10922735700114572,7762968,0.031158388999756426
64,parquet,0.10921900699941034,7762968,0.0324230570004147
65,parquet,0.10752177500035032,7762968,0.033799836000980577
66,parquet,0.10942509900087316,7762968,0.03291655300017737
67,parquet,0.10907003700049245,7762968,0.0392689820000669
68,parquet,0.11486664800031576,7762968,0.03746512599900598
69,parquet,0.10980617700079165,7762968,0.03579593299946282
70,hdf5,0.05017510599827801,34859701,0.031151289000263205
71,hdf5,0.03736470500007272,49394368,0.030915944998923806
72,hdf5,0.03854932200010808,50913040,0.035655710998980794
73,hdf5,0.047453007000513026,52431712,0.03454203700130165
74,hdf5,0.04244615599964163,53950384,0.03245715599950927
75,hdf5,0.04171465800027363,55469056,0.03091932499955874
76,hdf5,0.0385634320009558,56987728,0.0329705730000569
77,hdf5,0.03807566599971324,58506400,0.03129537999848253
78,hdf5,0.04218791299899749,60025072,0.04580258500027412
79,hdf5,0.04676351799935219,61543744,0.03111152800011041
80,orc,0.18720088600093732,15975642,0.060458760999608785
81,orc,0.17312967799989565,15975642,0.059983844999806024
82,orc,0.1686441450001439,15975642,0.06109640000067884
83,orc,0.17198852999899827,15975642,0.06343140399985714
84,orc,0.17377739599942288,15975642,0.06403717099965434
85,orc,0.16192886200042267,15975642,0.060382739999113255
86,orc,0.16151441500005603,15975642,0.06022976900021604
87,orc,0.16437980400041852,15975642,0.059328145000108634
88,orc,0.18107964100090612,15975642,0.06392492099985247
89,orc,0.1603837590009789,15975642,0.06193910200090613
90,stata,1.119699495000532,26083217,0.27946097799940617
91,stata,1.073196134000682,26083217,0.280100048001259
92,stata,1.0605535009999585,26083217,0.28553971700057446
93,stata,1.0418556630011153,26083217,0.27833685599944147
94,stata,1.0546872680006345,26083217,0.28266964800059213
95,stata,1.0548440069997014,26083217,0.27775629999996454
96,stata,1.0400751039996976,26083217,0.27945547600029386
97,stata,1.0422238479986845,26083217,0.2820999350005877
98,stata,1.0437780449992715,26083217,0.28291300700038846
99,stata,1.0682164869995177,26083217,0.2786714680005389
